class,size,P29_AP,P29_AP50,P30_AP,P30_AP50,dAP50,GT
Obstacles,large,0.2275,0.3968,0.1973,0.4011,0.0043,722
Allies,large,0.3707,0.4975,0.2602,0.4762,-0.0213,928
Enemies,large,0.2724,0.4162,0.1568,0.3324,-0.0838,872
Casualties,large,0.3748,0.5598,0.2207,0.4718,-0.0880,1194
Doors,medium,0.1870,0.3448,0.0797,0.1625,-0.1823,459
Windows,medium,0.2341,0.4138,0.0949,0.2162,-0.1976,1684
Fire_Extinguishers,small,0.2086,0.3939,0.0066,0.0246,-0.3693,1056
Landing_Markers,small,0.3517,0.5259,0.0509,0.1537,-0.3722,933
Emergency_Exits,small,0.2611,0.4515,0.0078,0.0278,-0.4237,1100
Lighting,small,0.2018,0.4550,0.0038,0.0185,-0.4365,341
OVERALL,all,0.2690,0.4455,0.1079,0.2285,-0.2170,
